SalesLT,Product,rowguid,uniqueidentifier
SalesLT,Product,ModifiedDate,datetime
SalesLT,ProductCategory,ProductCategoryID,int
SalesLT,ProductCategory,ParentProductCategoryID,int
SalesLT,ProductCategory,Name,nvarchar
SalesLT,ProductCategory,rowguid,uniqueidentifier
SalesLT,ProductCategory,ModifiedDate,datetime
SalesLT,ProductDescription,ProductDescriptionID,int
SalesLT,ProductDescription,Description,nvarchar
SalesLT,ProductDescription,rowguid,uniqueidentifier
SalesLT,ProductDescription,ModifiedDate,datetime
SalesLT,ProductModel,ProductModelID,int
SalesLT,ProductModel,Name,nvarchar
SalesLT,ProductModel,CatalogDescription,xml
SalesLT,ProductModel,rowguid,uniqueidentifier
SalesLT,ProductModel,ModifiedDate,datetime
SalesLT,ProductModelProductDescription,ProductModelID,int
SalesLT,ProductModelProductDescription,ProductDescriptionID,int
SalesLT,ProductModelProductDescription,Culture,nchar
SalesLT,ProductModelProductDescription,rowguid,uniqueidentifier
SalesLT,ProductModelProductDescription,ModifiedDate,datetime
SalesLT,SalesOrderDetail,SalesOrderID,int
SalesLT,SalesOrderDetail,SalesOrderDetailID,int
SalesLT,SalesOrderDetail,OrderQty,smallint
SalesLT,SalesOrderDetail,ProductID,int
SalesLT,SalesOrderDetail,UnitPrice,money
SalesLT,SalesOrderDetail,UnitPriceDiscount,money
SalesLT,SalesOrderDetail,LineTotal,numeric
SalesLT,SalesOrderDetail,rowguid,uniqueidentifier
SalesLT,SalesOrderDetail,ModifiedDate,datetime
SalesLT,SalesOrderHeader,SalesOrderID,int
SalesLT,SalesOrderHeader,RevisionNumber,tinyint
SalesLT,SalesOrderHeader,OrderDate,datetime
SalesLT,SalesOrderHeader,DueDate,datetime
SalesLT,SalesOrderHeader,ShipDate,datetime
SalesLT,SalesOrderHeader,Status,tinyint
SalesLT,SalesOrderHeader,OnlineOrderFlag,bit
SalesLT,SalesOrderHeader,SalesOrderNumber,nvarchar
SalesLT,SalesOrderHeader,PurchaseOrderNumber,nvarchar
SalesLT,SalesOrderHeader,AccountNumber,nvarchar
SalesLT,SalesOrderHeader,CustomerID,int
SalesLT,SalesOrderHeader,ShipToAddressID,int
SalesLT,SalesOrderHeader,BillToAddressID,int
SalesLT,SalesOrderHeader,ShipMethod,nvarchar
SalesLT,SalesOrderHeader,CreditCardApprovalCode,varchar
SalesLT,SalesOrderHeader,SubTotal,money
SalesLT,SalesOrderHeader,TaxAmt,money
SalesLT,SalesOrderHeader,Freight,money
SalesLT,SalesOrderHeader,TotalDue,money
SalesLT,SalesOrderHeader,Comment,nvarchar
SalesLT,SalesOrderHeader,rowguid,uniqueidentifier
SalesLT,SalesOrderHeader,ModifiedDate,datetime
SalesLT,vGetAllCategories,ParentProductCategoryName,nvarchar
SalesLT,vGetAllCategories,ProductCategoryName,nvarchar
SalesLT,vGetAllCategories,ProductCategoryID,int
SalesLT,vProductAndDescription,ProductID,int
SalesLT,vProductAndDescription,Name,nvarchar
SalesLT,vProductAndDescription,ProductModel,nvarchar
SalesLT,vProductAndDescription,Culture,nchar
SalesLT,vProductAndDescription,Description,nvarchar
SalesLT,vProductModelCatalogDescription,ProductModelID,int
SalesLT,vProductModelCatalogDescription,Name,nvarchar
SalesLT,vProductModelCatalogDescription,Summary,nvarchar
SalesLT,vProductModelCatalogDescription,Manufacturer,nvarchar
SalesLT,vProductModelCatalogDescription,Copyright,nvarchar
SalesLT,vProductModelCatalogDescription,ProductURL,nvarchar
SalesLT,vProductModelCatalogDescription,WarrantyPeriod,nvarchar
SalesLT,vProductModelCatalogDescription,WarrantyDescription,nvarchar
SalesLT,vProductModelCatalogDescription,NoOfYears,nvarchar
SalesLT,vProductModelCatalogDescription,MaintenanceDescription,nvarchar
SalesLT,vProductModelCatalogDescription,Wheel,nvarchar
SalesLT,vProductModelCatalogDescription,Saddle,nvarchar
SalesLT,vProductModelCatalogDescription,Pedal,nvarchar
SalesLT,vProductModelCatalogDescription,BikeFrame,nvarchar
SalesLT,vProductModelCatalogDescription,Crankset,nvarchar
SalesLT,vProductModelCatalogDescription,PictureAngle,nvarchar
SalesLT,vProductModelCatalogDescription,PictureSize,nvarchar
SalesLT,vProductModelCatalogDescription,ProductPhotoID,nvarchar
SalesLT,vProductModelCatalogDescription,Material,nvarchar
SalesLT,vProductModelCatalogDescription,Color,nvarchar
SalesLT,vProductModelCatalogDescription,ProductLine,nvarchar
SalesLT,vProductModelCatalogDescription,Style,nvarchar
SalesLT,vProductModelCatalogDescription,RiderExperience,nvarchar
SalesLT,vProductModelCatalogDescription,rowguid,uniqueidentifier
SalesLT,vProductModelCatalogDescription,ModifiedDate,datetime
